Título,Autor,Autor secundário,Edição,Nome da editora,Ano de publicação,Nome da coleção,ISBN,N.º depósito legal,source_image
O Aluno de Foyce,Drago Jancar,,,"Edicdes tinta-da-china, Lda.",,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0736.HEIC
A Ilha do Tesouro,Robert Louis Stevenson,"Claire Ubac, Antonio Pescada",1.4,,1999,,978-972-08 aa,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0737.heic
"Lote 12, 2³ Frente",Alice Vieira,,19,Editorial Caminho,1980,,"978-972-21.2930,5",,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0741.HEIC
Lote 12,Alice Vieira ,,1980,Editorial Caminho,1980,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0742.HEIC
Chocolate 2 Chuva,Alice Vieira,,,,1982,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0744.HEIC
"Rosa, minha É rma Rosa",Alice Vieira,,,Editoria Caminho,1979,,978-972-21-2905-3,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0746.HEIC
"Rosa, minha Irma Rosa",Alice Vieira,,,,1980,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0747.HEIC
"Lote 12, 2¼a Frente",Alice Vieira,,17.,Editorial Caminho,1980,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_0748.HEIC
Harry Potter and the Chamber of Secrets,J.K. Rowling,,"1.* edicdo, Lisboa, janeiro, 2000; Reimpressdo, Lisboa, julho, 2018",Editorial Presença,1998,,,217 441/04,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9269.heic
Harry Potter and the Goblet of Fire,J. K. Rowling,,10.*,EDITORIAL PRESENCA,2003,,,293 869/09,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9271.heic
Harry Potter and the Philosopher's Stone,JK. Rowling,,1.4 edição,Bloomsbury Publishing Plc.,1997,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9272.heic
THE CONCERTS FOR A CLIMATE IN CRISIS,David de Rothschild,,,Melcher Media,,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9273.heic
O Gato e o Escuro,Mia Couto,,,"Editorial Caminho, SA",2001,,978-972-21-1415-8,406 356/16,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9275 2.heic
A Odisseia de Homero Adaptada para Jovens,Frederico Lourengo,,1º edigao na Quetzal: junho de 2018,Quetzal Editores,2018-2024,,978-989-722-474-4,440 242/18,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9279.heic
Top! Vou tirar 100% - 3º ano,"Eva Lima, Nuno Barrigao",,LIVRO AUXILIAR,Porto Editora,2020,,DEP. LEGAL 446097/18,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9280.heic
"Brown bear, brown bear, what do you see?",Bill Martin Jr,Eric Carle,,Henry Holt and Company,1967,,978-0-8050-4790-5,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9281.heic
Top! Vou tirar 100% - 4»a ano,"Eva Lima, Nuno Barrigdo",,LIVRO AUXILIAR,Porto Editora,2020,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9282.heic
GOODNIGHT MOON,Margaret Wise Brown,,,HarperCollins Publishers,,,,,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9283.heic
Titolo,"Eva Lima, Nuno Barrigdo",,,Porto Editora,2020,,,446096/18,C:\Users\goncalo.lourenco\Downloads\images\Lote-Marcia_e_Barbara-23mar26\IMG_9286.heic
